,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAME-ID
21,Thunder,32,78,41.0,4,18,22.2,38,47,80.9,9,35,44,17,11,10,12,15,106,11,1,10
22,Hornets,29,73,39.7,5,13,38.5,23,24,95.8,8,28,36,22,8,3,20,15,86,-15,0,11
23,Mavericks,41,75,54.7,4,15,26.7,15,18,83.3,7,34,41,29,12,5,16,18,101,15,1,11
24,Pacers,41,77,53.2,8,21,38.1,19,28,67.9,9,27,36,20,9,6,23,26,109,-13,0,12
25,Spurs,42,83,50.6,9,20,45.0,29,36,80.6,9,26,35,29,15,5,14,21,122,13,1,12
26,Jazz,27,70,38.6,3,13,23.1,31,43,72.1,11,33,44,21,7,4,22,30,88,-22,0,13
27,Nuggets,35,80,43.8,6,20,30.0,34,41,82.9,12,34,46,23,9,2,15,31,110,22,1,13
28,Rockets,41,87,47.1,4,16,25.0,42,52,80.8,15,24,39,24,9,2,9,20,128,-4,0,14
29,Warriors,51,92,55.4,8,20,40.0,22,26,84.6,14,31,45,25,5,7,12,30,132,4,1,14
30,Trail Blazers,36,88,40.9,8,20,40.0,18,23,78.3,21,30,51,17,9,6,12,23,98,10,0,15
31,Clippers,32,79,40.5,5,18,27.8,19,30,63.3,14,27,41,19,8,8,15,20,88,-10,1,15
32,Wizards,29,78,37.2,4,19,21.1,21,30,70.0,3,22,25,17,10,3,13,25,83,-29,0,16
33,Magic,43,77,55.8,8,24,33.3,18,32,56.3,11,42,53,20,5,3,21,22,112,29,1,16
34,Suns,37,80,46.3,10,26,38.5,26,34,76.5,12,32,44,20,11,4,14,25,110,16,0,17
35,Jazz,36,84,42.9,3,13,23.1,19,27,70.4,14,31,45,19,8,6,16,28,94,-16,1,17
36,Pacers,36,80,45.0,12,29,41.4,20,24,83.3,9,25,34,25,5,11,10,28,104,3,0,18
37,Hornets,31,70,44.3,4,12,33.3,35,45,77.8,15,30,45,17,3,7,17,21,101,-3,1,18
38,Kings,39,93,41.9,5,20,25.0,17,26,65.4,10,21,31,21,7,3,12,32,100,-6,0,19
39,Nets,32,61,52.5,6,11,54.5,36,45,80.0,5,38,43,18,2,4,26,30,106,6,1,19
40,Hawks,36,70,51.4,6,17,35.3,26,31,83.9,10,36,46,24,3,8,20,26,104,3,0,20
41,76ers,35,85,41.2,5,11,45.5,26,33,78.8,12,24,36,24,9,6,8,21,101,-3,1,20
42,Cavaliers,32,84,38.1,9,19,47.4,8,10,80.0,9,24,33,15,9,2,19,19,81,-20,0,21
43,Raptors,39,82,47.6,6,20,30.0,17,18,94.4,11,35,46,24,11,5,19,19,101,20,1,21
44,Knicks,37,85,43.5,9,27,33.3,18,27,66.7,9,29,38,24,8,9,10,20,101,-4,0,22
45,Celtics,44,91,48.4,5,16,31.3,12,18,66.7,14,40,54,33,2,1,17,23,105,4,1,22
46,Thunder,33,85,38.8,2,15,13.3,37,44,84.1,18,29,47,16,14,4,12,20,105,1,0,23
47,Pistons,40,85,47.1,8,12,66.7,16,20,80.0,15,28,43,16,1,7,18,27,104,-1,1,23
48,Magic,21,69,30.4,4,24,16.7,24,34,70.6,8,32,40,5,5,3,14,20,70,-26,0,24
