,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
21,Ish Smith,Houston Rockets,13:20,0,4,0.0,0,0,0.0,0,0,0.0,0,1,1,3,0,0,2,1,0,-9,7
22,Kevin Durant,Oklahoma City Thunder,35:30,12,18,66.7,2,2,100.0,6,6,100.0,0,7,7,4,0,0,3,4,32,15,7
23,Jeff Green,Oklahoma City Thunder,38:34,6,12,50.0,2,4,50.0,7,7,100.0,1,3,4,5,1,0,3,0,21,13,7
24,Serge Ibaka,Oklahoma City Thunder,23:41,3,4,75.0,0,0,0.0,2,2,100.0,0,7,7,0,0,0,0,1,8,3,7
25,Russell Westbrook,Oklahoma City Thunder,31:55,6,11,54.5,0,1,0.0,5,5,100.0,0,3,3,5,0,0,2,4,17,8,7
26,James Harden,Oklahoma City Thunder,31:54,5,7,71.4,2,3,66.7,4,5,80.0,1,3,4,4,1,0,2,4,16,10,7
27,George Hill,San Antonio Spurs,33:00,1,3,33.3,0,0,0.0,4,5,80.0,0,1,1,3,2,0,1,3,6,-10,8
28,Kevin Love,Minnesota Timberwolves,37:51,7,15,46.7,1,4,25.0,8,9,88.9,3,13,16,4,1,0,0,2,23,-4,9
29,Robin Lopez,Phoenix Suns,23:58,4,9,44.4,0,0,0.0,4,4,100.0,3,5,8,0,1,0,0,2,12,9,9
30,Goran Dragic,Phoenix Suns,16:44,5,9,55.6,1,1,100.0,0,0,0.0,2,0,2,5,1,0,2,3,11,-15,9
31,LaMarcus Aldridge,Portland Trail Blazers,41:35,14,26,53.8,0,0,0.0,7,10,70.0,3,7,10,0,0,0,0,3,35,-4,10
32,Nicolas Batum,Portland Trail Blazers,26:30,5,10,50.0,1,3,33.3,0,1,0.0,4,2,6,2,0,1,0,3,11,1,10
33,Patty Mills,Portland Trail Blazers,12:48,2,7,28.6,0,3,0.0,0,0,0.0,0,1,1,3,0,0,0,0,4,7,10
34,JaVale McGee,Washington Wizards,21:26,1,5,20.0,0,0,0.0,0,0,0.0,0,5,5,0,0,2,2,5,2,-7,11
35,Brook Lopez,New Jersey Nets,26:14,6,12,50.0,0,0,0.0,6,8,75.0,0,5,5,0,0,1,3,4,18,19,11
36,Derrick Favors,New Jersey Nets,17:41,2,3,66.7,0,0,0.0,0,0,0.0,4,1,5,0,0,0,1,5,4,-6,11
37,Al Horford,Atlanta Hawks,25:53,4,7,57.1,0,0,0.0,0,0,0.0,2,5,7,2,0,1,1,3,8,-15,12
38,Avery Bradley,Boston Celtics,4:29,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,1,0,-3,12
39,George Hill,San Antonio Spurs,33:28,1,5,20.0,0,2,0.0,0,0,0.0,0,2,2,4,0,0,2,5,2,7,13
40,Carmelo Anthony,Denver Nuggets,42:28,10,20,50.0,1,1,100.0,10,14,71.4,1,8,9,3,1,0,2,3,31,-1,13
41,LeBron James,Miami Heat,38:13,14,23,60.9,3,6,50.0,1,3,33.3,1,10,11,10,1,0,5,1,32,31,15
42,Danilo Gallinari,New York Knicks,40:12,8,16,50.0,4,8,50.0,5,6,83.3,0,4,4,1,0,1,1,3,25,-23,15
43,Andre Iguodala,Philadelphia 76ers,37:53,7,17,41.2,2,4,50.0,2,2,100.0,2,4,6,6,2,0,2,0,18,0,16
44,Jrue Holiday,Philadelphia 76ers,31:27,3,15,20.0,0,4,0.0,0,0,0.0,1,2,3,6,2,1,4,4,6,-6,16
45,Lou Williams,Philadelphia 76ers,17:43,3,10,30.0,0,2,0.0,2,2,100.0,1,2,3,4,1,0,1,1,8,-3,16
46,Thaddeus Young,Philadelphia 76ers,25:29,3,6,50.0,0,0,0.0,0,0,0.0,2,2,4,1,1,0,4,3,6,-15,16
47,Brook Lopez,New Jersey Nets,32:00,7,13,53.8,0,0,0.0,6,7,85.7,4,3,7,2,0,4,6,4,20,-1,17
48,Derrick Favors,New Jersey Nets,16:43,4,6,66.7,0,0,0.0,0,0,0.0,3,1,4,0,0,0,1,4,8,-8,17
49,DeMar DeRozan,Toronto Raptors,32:33,5,16,31.3,0,3,0.0,4,7,57.1,2,2,4,1,1,0,1,2,14,3,17
50,Ed Davis,Toronto Raptors,17:30,0,3,0.0,0,0,0.0,0,0,0.0,1,5,6,0,0,0,1,3,0,-2,17
