,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
3075,James Johnson,Toronto Raptors,11:12,2,4,50.0,1,1,100,0,0,0.0,0,0,0,0,1,1,1,5,5,1,1022
3076,Ed Davis,Toronto Raptors,15:12,1,5,20.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,1,2,2,8,1022
3077,Carmelo Anthony,New York Knicks,42:14,13,31,41.9,4,9,44.4,5,8,62.5,1,10,11,4,1,0,3,1,35,-2,1022
3078,Al Horford,Atlanta Hawks,39:09,6,9,66.7,0,0,0.0,4,4,100,3,6,9,2,1,2,1,2,16,0,1023
3079,LeBron James,Miami Heat,38:33,11,18,61.1,0,0,0.0,6,9,66.7,2,5,7,6,0,0,4,1,28,-1,1023
3080,Udonis Haslem,Miami Heat,29:40,1,3,33.3,0,0,0.0,2,4,50.0,2,8,10,0,0,0,0,3,4,-13,1023
3081,Dwight Howard,Orlando Magic,39:56,8,14,57.1,0,0,0.0,3,8,37.5,2,5,7,2,5,1,3,6,19,-9,1024
3082,Kawhi Leonard,San Antonio Spurs,17:22,2,6,33.3,0,0,0.0,2,2,100,2,1,3,1,2,0,0,1,6,-2,1025
3083,Danny Green,San Antonio Spurs,17:03,3,6,50.0,1,2,50.0,2,2,100,1,2,3,0,0,1,1,0,9,5,1025
3084,Kevin Love,Minnesota Timberwolves,43:32,8,15,53.3,4,9,44.4,4,5,80.0,3,12,15,1,3,2,6,2,24,10,1025
3085,Ricky Rubio,Minnesota Timberwolves,23:41,3,8,37.5,0,2,0.0,0,0,0.0,0,2,2,3,0,1,2,1,6,1,1025
3086,Wayne Ellington,Minnesota Timberwolves,6:45,0,2,0.0,0,0,0.0,2,2,100,0,0,0,0,0,0,1,2,2,6,1025
3087,Kevin Durant,Oklahoma City Thunder,39:17,10,21,47.6,3,6,50.0,4,7,57.1,0,2,2,0,0,1,3,0,27,-5,1026
3088,Serge Ibaka,Oklahoma City Thunder,41:24,4,10,40.0,0,0,0.0,2,2,100,5,3,8,1,1,2,0,4,10,-6,1026
3089,Russell Westbrook,Oklahoma City Thunder,35:24,8,20,40.0,0,2,0.0,2,4,50.0,1,7,8,3,3,0,2,0,18,-4,1026
3090,James Harden,Oklahoma City Thunder,31:23,5,11,45.5,1,5,20.0,5,5,100,1,6,7,3,2,0,3,2,16,-11,1026
3091,Reggie Jackson,Oklahoma City Thunder,5:32,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,-2,1026
3092,Danilo Gallinari,Denver Nuggets,35:34,5,12,41.7,1,5,20.0,10,12,83.3,2,8,10,2,0,1,4,2,21,12,1027
3093,Trevor Ariza,New Orleans Hornets,17:24,2,4,50.0,0,0,0.0,0,0,0.0,0,2,2,1,1,0,0,3,4,3,1028
3094,Gordon Hayward,Utah Jazz,19:48,1,3,33.3,0,2,0.0,1,1,100,0,2,2,2,0,1,1,0,3,-11,1028
3095,Paul Millsap,Utah Jazz,25:24,3,7,42.9,0,1,0.0,0,0,0.0,2,4,6,1,3,0,1,1,6,0,1028
3096,Enes Kanter,Utah Jazz,13:22,2,4,50.0,0,0,0.0,0,1,0.0,2,2,4,1,0,0,0,0,4,1,1028
3097,Derrick Favors,Utah Jazz,22:39,4,6,66.7,0,0,0.0,1,2,50.0,1,4,5,0,0,2,3,2,9,4,1028
3098,Alec Burks,Utah Jazz,10:31,2,4,50.0,1,1,100,0,0,0.0,1,2,3,0,0,0,1,1,5,8,1028
3099,D.J. Augustin,Charlotte Bobcats,38:03,10,18,55.6,4,7,57.1,2,2,100,0,4,4,9,1,1,4,1,26,-11,1029
3100,Kemba Walker,Charlotte Bobcats,12:41,1,6,16.7,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-8,1029
3101,Kyrie Irving,Cleveland Cavaliers,21:36,8,10,80.0,2,2,100,2,2,100,0,3,3,6,0,2,0,2,20,15,1029
3102,Tristan Thompson,Cleveland Cavaliers,24:04,7,16,43.8,0,0,0.0,2,6,33.3,5,4,9,1,0,2,0,4,16,5,1029
3103,Al Horford,Atlanta Hawks,40:17,7,14,50.0,0,1,0.0,2,4,50.0,3,4,7,2,2,0,1,3,16,5,1030
3104,Derrick Rose,Chicago Bulls,43:59,8,22,36.4,3,8,37.5,11,13,84.6,0,1,1,7,0,1,2,1,30,2,1030
3105,Taj Gibson,Chicago Bulls,23:56,2,7,28.6,0,0,0.0,0,0,0.0,3,1,4,1,0,0,1,4,4,17,1030
3106,Jimmy Butler,Chicago Bulls,0:33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1030
3107,Rudy Gay,Memphis Grizzlies,35:13,10,16,62.5,0,1,0.0,3,5,60.0,2,6,8,2,1,1,2,1,23,21,1031
3108,Mike Conley,Memphis Grizzlies,22:43,5,8,62.5,1,2,50.0,3,3,100,0,2,2,7,4,0,2,2,14,27,1031
3109,LaMarcus Aldridge,Portland Trail Blazers,41:57,10,19,52.6,0,0,0.0,10,12,83.3,3,5,8,1,0,1,3,5,30,11,1032
3110,Nicolas Batum,Portland Trail Blazers,24:28,4,8,50.0,3,4,75.0,1,2,50.0,1,6,7,0,0,2,0,1,12,-1,1032
3111,Kevin Durant,Oklahoma City Thunder,41:34,8,26,30.8,1,7,14.3,2,4,50.0,0,5,5,2,1,3,3,4,19,-11,1032
3112,Serge Ibaka,Oklahoma City Thunder,17:35,4,4,100,0,0,0.0,0,0,0.0,2,1,3,1,0,1,0,3,8,-5,1032
3113,James Harden,Oklahoma City Thunder,40:01,7,13,53.8,3,7,42.9,6,6,100,1,3,4,6,3,0,3,5,23,-9,1032
3114,Russell Westbrook,Oklahoma City Thunder,39:09,8,18,44.4,1,3,33.3,5,7,71.4,1,5,6,8,1,0,3,3,22,-9,1032
3115,Gordon Hayward,Utah Jazz,25:16,5,7,71.4,1,3,33.3,1,2,50.0,0,3,3,1,0,0,4,5,12,7,1033
3116,Paul Millsap,Utah Jazz,25:48,6,7,85.7,0,0,0.0,1,2,50.0,2,10,12,2,1,2,3,4,13,0,1033
3117,Derrick Favors,Utah Jazz,21:08,3,5,60.0,0,0,0.0,0,1,0.0,1,6,7,0,1,5,2,3,6,12,1033
3118,Enes Kanter,Utah Jazz,12:35,2,2,100,0,0,0.0,1,2,50.0,1,4,5,0,0,1,2,0,5,1,1033
3119,Alec Burks,Utah Jazz,27:39,1,6,16.7,0,2,0.0,7,10,70.0,2,0,2,6,0,1,2,1,9,10,1033
3120,Kyle Lowry,Houston Rockets,38:50,8,19,42.1,4,9,44.4,2,2,100,4,6,10,9,2,0,2,3,22,-7,1034
3121,Goran Dragic,Houston Rockets,11:16,4,5,80.0,1,2,50.0,0,0,0.0,0,1,1,3,0,0,2,3,9,-2,1034
3122,Kyrie Irving,Cleveland Cavaliers,26:11,3,13,23.1,0,1,0.0,6,6,100,2,1,3,4,0,0,2,4,12,-2,1035
3123,Tristan Thompson,Cleveland Cavaliers,16:27,0,5,0.0,0,0,0.0,1,2,50.0,0,3,3,0,0,1,0,1,1,-5,1035
3124,DeMar DeRozan,Toronto Raptors,37:04,9,18,50.0,5,8,62.5,2,2,100,0,5,5,0,0,0,1,1,25,13,1035
3125,James Johnson,Toronto Raptors,26:28,1,8,12.5,0,0,0.0,2,4,50.0,2,6,8,2,2,2,3,3,4,12,1035
3126,Ed Davis,Toronto Raptors,22:36,4,7,57.1,0,0,0.0,0,0,0.0,2,5,7,1,0,1,1,2,8,4,1035
3127,JaVale McGee,Washington Wizards,23:48,2,8,25.0,0,0,0.0,2,2,100,1,3,4,0,2,5,1,2,6,-17,1036
3128,John Wall,Washington Wizards,33:27,6,16,37.5,0,0,0.0,2,4,50.0,2,2,4,5,1,0,0,4,14,-25,1036
3129,Dwight Howard,Orlando Magic,36:36,11,13,84.6,0,0,0.0,6,14,42.9,5,15,20,2,0,3,4,3,28,23,1036
3130,Rajon Rondo,Boston Celtics,32:19,4,8,50.0,0,0,0.0,0,3,0.0,0,0,0,12,3,0,3,1,8,14,1037
3131,Avery Bradley,Boston Celtics,23:27,4,8,50.0,1,4,25.0,2,3,66.7,0,0,0,2,2,0,2,2,11,8,1037
3132,E'Twaun Moore,Boston Celtics,5:48,2,3,66.7,1,1,100,0,0,0.0,0,0,0,0,0,0,0,0,5,-1,1037
3133,D.J. Augustin,Charlotte Bobcats,32:24,4,14,28.6,1,2,50.0,5,6,83.3,0,6,6,10,0,0,0,1,14,5,1038
3134,Kemba Walker,Charlotte Bobcats,15:36,3,8,37.5,1,2,50.0,0,0,0.0,0,2,2,5,1,0,2,0,7,3,1038
3135,Carmelo Anthony,New York Knicks,34:22,12,24,50.0,2,6,33.3,6,6,100,3,3,6,5,3,0,4,4,32,-3,1038
3136,Paul George,Indiana Pacers,40:03,4,11,36.4,3,5,60.0,2,4,50.0,1,3,4,3,1,1,4,4,13,-30,1039
