,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID,Date,WIN
18065,Knicks,43,96.0,44.8,11,35.0,31.4,13,17.0,76.5,15,46,61,28,6,7,16,24,110,18.0,1,9070,2018-03-19,1
18066,Warriors,30,74.0,40.5,3,19.0,15.8,12,16.0,75.0,2,34,36,17,7,9,15,24,75,-14.0,0,9071,2018-03-19,0
18067,Spurs,33,82.0,40.2,8,23.0,34.8,15,21.0,71.4,11,37,48,21,6,5,14,20,89,14.0,1,9071,2018-03-19,1
18068,Pistons,37,79.0,46.8,14,29.0,48.3,18,22.0,81.8,6,38,44,17,6,5,9,11,106,16.0,0,9072,2018-03-19,1
18069,Kings,40,88.0,45.5,6,23.0,26.1,4,9.0,44.4,8,31,39,23,7,3,13,21,90,-16.0,1,9072,2018-03-19,0
18070,Raptors,35,77.0,45.5,14,36.0,38.9,9,17.0,52.9,6,39,45,19,7,8,17,10,93,7.0,0,9073,2018-03-20,1
18071,Magic,37,90.0,41.1,9,25.0,36.0,3,5.0,60.0,10,35,45,22,13,7,12,16,86,-7.0,1,9073,2018-03-20,0
18072,Thunder,35,85.0,41.2,10,27.0,37.0,19,29.0,65.5,8,36,44,19,6,6,13,20,99,-1.0,0,9074,2018-03-20,0
18073,Celtics,36,87.0,41.4,13,36.0,36.1,15,16.0,93.8,11,41,52,22,6,5,17,24,100,1.0,1,9074,2018-03-20,1
18074,Clippers,40,93.0,43.0,8,24.0,33.3,21,26.0,80.8,11,30,41,21,4,5,10,22,109,-14.0,0,9075,2018-03-20,0
18075,Timberwolves,45,86.0,52.3,10,25.0,40.0,23,24.0,95.8,6,34,40,23,5,6,11,21,123,14.0,1,9075,2018-03-20,1
18076,Mavericks,43,90.0,47.8,10,35.0,28.6,9,11.0,81.8,9,31,40,25,4,2,8,14,105,-10.0,0,9076,2018-03-20,0
18077,Pelicans,48,91.0,52.7,10,25.0,40.0,9,15.0,60.0,9,37,46,33,5,2,9,11,115,10.0,1,9076,2018-03-20,1
18078,Hawks,38,94.0,40.4,9,33.0,27.3,14,19.0,73.7,11,41,52,21,7,3,13,23,99,5.0,0,9077,2018-03-20,1
18079,Jazz,33,89.0,37.1,6,34.0,17.6,22,25.0,88.0,12,39,51,16,8,8,16,22,94,-5.0,1,9077,2018-03-20,0
18080,Pistons,43,97.0,44.3,15,36.0,41.7,14,16.0,87.5,12,38,50,22,12,14,8,16,115,27.0,0,9078,2018-03-20,1
18081,Suns,34,90.0,37.8,7,34.0,20.6,13,20.0,65.0,12,37,49,22,1,8,19,16,88,-27.0,1,9078,2018-03-20,0
18082,Rockets,38,79.0,48.1,19,36.0,52.8,20,29.0,69.0,7,31,38,18,3,4,9,23,115,4.0,0,9079,2018-03-20,1
18083,Trail Blazers,40,81.0,49.4,11,28.0,39.3,20,27.0,74.1,10,34,44,20,6,7,8,18,111,-4.0,1,9079,2018-03-20,0
18084,Raptors,47,88.0,53.4,15,34.0,44.1,20,23.0,87.0,10,23,33,32,4,5,6,23,129,-3.0,0,9080,2018-03-21,0
18085,Cavaliers,47,78.0,60.3,15,24.0,62.5,23,28.0,82.1,4,29,33,28,3,4,9,18,132,3.0,1,9080,2018-03-21,1
18086,Grizzlies,40,99.0,40.4,9,27.0,33.3,16,20.0,80.0,15,32,47,25,6,2,13,20,105,-14.0,0,9081,2018-03-21,0
18087,76ers,46,84.0,54.8,11,31.0,35.5,16,20.0,80.0,4,34,38,32,8,4,14,21,119,14.0,1,9081,2018-03-21,1
18088,Hornets,36,94.0,38.3,3,16.0,18.8,36,47.0,76.6,23,45,68,18,3,2,13,16,111,6.0,0,9082,2018-03-21,1
18089,Nets,39,93.0,41.9,13,37.0,35.1,14,21.0,66.7,10,36,46,22,6,11,12,36,105,-6.0,1,9082,2018-03-21,0
18090,Knicks,39,89.0,43.8,10,31.0,32.3,10,12.0,83.3,13,27,40,21,6,1,14,16,98,-21.0,0,9083,2018-03-21,0
18091,Heat,45,81.0,55.6,15,34.0,44.1,14,19.0,73.7,5,27,32,31,9,2,7,17,119,21.0,1,9083,2018-03-21,1
18092,Pacers,34,93.0,36.6,7,22.0,31.8,17,18.0,94.4,15,33,48,15,13,5,14,21,92,-4.0,0,9084,2018-03-21,0
18093,Pelicans,34,79.0,43.0,8,23.0,34.8,20,24.0,83.3,10,40,50,15,4,11,18,19,96,4.0,1,9084,2018-03-21,1
18094,Nuggets,51,83.0,61.4,20,35.0,57.1,13,16.0,81.3,8,37,45,34,9,6,17,13,135,33.0,0,9085,2018-03-21,1
18095,Bulls,39,89.0,43.8,13,38.0,34.2,11,14.0,78.6,9,25,34,29,12,4,15,22,102,-33.0,1,9085,2018-03-21,0
18096,Clippers,45,86.0,52.3,15,30.0,50.0,22,29.0,75.9,16,31,47,26,12,3,19,16,127,7.0,0,9086,2018-03-21,1
18097,Bucks,50,91.0,54.9,8,26.0,30.8,12,17.0,70.6,8,25,33,33,10,5,14,20,120,-7.0,1,9086,2018-03-21,0
18098,Wizards,35,83.0,42.2,8,25.0,32.0,12,16.0,75.0,9,26,35,27,11,4,12,16,90,-8.0,0,9087,2018-03-21,0
18099,Spurs,39,79.0,49.4,7,23.0,30.4,13,18.0,72.2,12,30,42,21,7,10,15,17,98,8.0,1,9087,2018-03-21,1
18100,Grizzlies,30,78.0,38.5,4,18.0,22.2,15,21.0,71.4,9,29,38,13,4,7,19,24,79,-61.0,0,9088,2018-03-22,0
18101,Hornets,49,92.0,53.3,19,40.0,47.5,23,27.0,85.2,11,42,53,25,10,4,8,17,140,61.0,1,9088,2018-03-22,1
18102,76ers,42,89.0,47.2,15,37.0,40.5,19,24.0,79.2,11,45,56,30,7,5,16,15,118,20.0,0,9089,2018-03-22,1
18103,Magic,37,91.0,40.7,10,33.0,30.3,14,22.0,63.6,7,33,40,26,10,3,10,19,98,-20.0,1,9089,2018-03-22,0
18104,Pistons,40,95.0,42.1,6,38.0,15.8,10,19.0,52.6,16,50,66,22,9,5,15,17,96,-4.0,0,9090,2018-03-22,0
18105,Rockets,35,99.0,35.4,12,51.0,23.5,18,28.0,64.3,12,40,52,19,9,3,12,19,100,4.0,1,9090,2018-03-22,1
18106,Lakers,43,87.0,49.4,17,39.0,43.6,22,28.0,78.6,7,33,40,19,4,3,16,20,125,-3.0,0,9091,2018-03-22,0
18107,Pelicans,52,95.0,54.7,6,24.0,25.0,18,22.0,81.8,8,34,42,28,13,4,9,19,128,3.0,1,9091,2018-03-22,1
18108,Jazz,46,87.0,52.9,12,29.0,41.4,15,16.0,93.8,8,31,39,32,11,6,11,19,119,7.0,0,9092,2018-03-22,1
18109,Mavericks,42,85.0,49.4,17,32.0,53.1,11,14.0,78.6,8,27,35,22,5,7,14,16,112,-7.0,1,9092,2018-03-22,0
18110,Hawks,33,84.0,39.3,12,36.0,33.3,12,18.0,66.7,6,34,40,19,7,2,12,10,90,-15.0,0,9093,2018-03-22,0
18111,Kings,43,93.0,46.2,10,21.0,47.6,9,9.0,100.0,12,39,51,28,8,9,13,18,105,15.0,1,9093,2018-03-22,1
18112,Clippers,42,76.0,55.3,10,26.0,38.5,10,14.0,71.4,5,27,32,24,4,3,14,20,104,-5.0,0,9094,2018-03-23,0
18113,Pacers,43,93.0,46.2,11,31.0,35.5,12,14.0,85.7,14,28,42,25,6,2,9,16,109,5.0,1,9094,2018-03-23,1
18114,Nuggets,37,85.0,43.5,17,34.0,50.0,17,18.0,94.4,7,31,38,25,5,10,10,16,108,8.0,0,9095,2018-03-23,1
18115,Wizards,38,80.0,47.5,14,28.0,50.0,10,14.0,71.4,8,38,46,28,3,2,17,21,100,-8.0,1,9095,2018-03-23,0
18116,Suns,38,87.0,43.7,7,28.0,25.0,12,20.0,60.0,7,29,36,24,9,4,17,23,95,-25.0,0,9096,2018-03-23,0
18117,Cavaliers,47,95.0,49.5,8,29.0,27.6,18,24.0,75.0,15,39,54,23,9,4,14,14,120,25.0,1,9096,2018-03-23,1
18118,Timberwolves,35,75.0,46.7,10,26.0,38.5,28,32.0,87.5,6,39,45,23,6,6,14,15,108,4.0,0,9097,2018-03-23,1
18119,Knicks,40,92.0,43.5,12,28.0,42.9,12,17.0,70.6,10,32,42,25,9,0,10,27,104,-4.0,1,9097,2018-03-23,0
18120,Nets,41,84.0,48.8,11,27.0,40.7,19,31.0,61.3,5,35,40,21,5,9,9,23,112,-4.0,0,9098,2018-03-23,0
18121,Raptors,41,86.0,47.7,14,28.0,50.0,20,29.0,69.0,5,38,43,26,5,7,10,24,116,4.0,1,9098,2018-03-23,1
18122,Bucks,43,87.0,49.4,15,30.0,50.0,17,19.0,89.5,7,29,36,27,8,7,5,20,118,13.0,0,9099,2018-03-23,1
18123,Bulls,36,87.0,41.4,12,26.0,46.2,21,23.0,91.3,17,34,51,21,3,2,14,21,105,-13.0,1,9099,2018-03-23,0
18124,Heat,34,87.0,39.1,13,30.0,43.3,18,20.0,90.0,8,33,41,22,4,1,10,25,99,-6.0,0,9100,2018-03-23,0
18125,Thunder,36,84.0,42.9,8,26.0,30.8,25,33.0,75.8,12,39,51,17,7,1,11,23,105,6.0,1,9100,2018-03-23,1
18126,Jazz,43,88.0,48.9,11,28.0,39.3,23,29.0,79.3,5,29,34,24,10,3,15,23,120,-4.0,0,9101,2018-03-23,0
18127,Spurs,47,92.0,51.1,7,17.0,41.2,23,27.0,85.2,11,38,49,21,9,7,13,25,124,4.0,1,9101,2018-03-23,1
18128,Celtics,35,77.0,45.5,11,18.0,61.1,24,26.0,92.3,9,36,45,22,5,4,13,18,105,5.0,0,9102,2018-03-23,1
18129,Trail Blazers,40,91.0,44.0,8,33.0,24.2,12,15.0,80.0,11,32,43,16,8,5,8,20,100,-5.0,1,9102,2018-03-23,0
18130,Hawks,37,84.0,44.0,11,32.0,34.4,9,20.0,45.0,5,39,44,24,5,5,11,14,94,-12.0,0,9103,2018-03-23,0
18131,Warriors,42,93.0,45.2,12,30.0,40.0,10,11.0,90.9,10,36,46,28,8,6,7,17,106,12.0,1,9103,2018-03-23,1
18132,Timberwolves,37,96.0,38.5,6,23.0,26.1,28,38.0,73.7,13,40,53,19,7,3,14,27,108,-12.0,0,9104,2018-03-24,0
18133,76ers,42,88.0,47.7,13,37.0,35.1,23,36.0,63.9,7,44,51,33,9,10,15,29,120,12.0,1,9104,2018-03-24,1
18134,Bulls,39,97.0,40.2,11,35.0,31.4,6,9.0,66.7,14,30,44,27,10,1,12,20,95,-22.0,0,9105,2018-03-24,0
18135,Pistons,43,87.0,49.4,16,42.0,38.1,15,18.0,83.3,12,37,49,33,6,7,13,11,117,22.0,1,9105,2018-03-24,1
18136,Suns,36,89.0,40.4,7,29.0,24.1,20,26.0,76.9,10,31,41,21,14,2,14,22,99,-6.0,0,9106,2018-03-24,0
18137,Magic,37,84.0,44.0,11,30.0,36.7,20,27.0,74.1,14,40,54,29,9,8,19,18,105,6.0,1,9106,2018-03-24,1
18138,Pelicans,38,96.0,39.6,6,21.0,28.6,9,12.0,75.0,12,34,46,19,10,6,16,14,91,-23.0,0,9107,2018-03-24,0
18139,Rockets,45,93.0,48.4,18,47.0,38.3,6,8.0,75.0,5,43,48,22,10,8,19,17,114,23.0,1,9107,2018-03-24,1
18140,Lakers,35,86.0,40.7,13,38.0,34.2,17,25.0,68.0,11,33,44,19,7,2,11,20,100,7.0,0,9108,2018-03-24,1
18141,Grizzlies,35,84.0,41.7,5,29.0,17.2,18,22.0,81.8,11,32,43,20,7,6,10,21,93,-7.0,1,9108,2018-03-24,0
18142,Hornets,35,92.0,38.0,12,25.0,48.0,20,29.0,69.0,13,49,62,21,10,4,13,14,102,4.0,0,9109,2018-03-24,1
18143,Mavericks,36,91.0,39.6,12,41.0,29.3,14,19.0,73.7,5,47,52,22,10,6,12,22,98,-4.0,1,9109,2018-03-24,0
18144,Cavaliers,44,87.0,50.6,12,28.0,42.9,21,26.0,80.8,11,38,49,25,5,2,11,21,121,7.0,0,9110,2018-03-25,1
18145,Nets,38,83.0,45.8,17,37.0,45.9,21,26.0,80.8,7,31,38,27,7,3,9,23,114,-7.0,1,9110,2018-03-25,0
18146,Spurs,41,92.0,44.6,4,17.0,23.5,17,21.0,81.0,20,33,53,16,4,2,12,17,103,-3.0,0,9111,2018-03-25,0
18147,Bucks,42,86.0,48.8,9,27.0,33.3,13,18.0,72.2,9,28,37,27,6,6,10,18,106,3.0,1,9111,2018-03-25,1
18148,Heat,41,86.0,47.7,14,35.0,40.0,11,14.0,78.6,7,32,39,32,10,3,17,20,107,-6.0,0,9112,2018-03-25,0
18149,Pacers,44,90.0,48.9,8,23.0,34.8,17,21.0,81.0,10,41,51,26,12,7,17,17,113,6.0,1,9112,2018-03-25,1
18150,Clippers,44,95.0,46.3,8,18.0,44.4,21,27.0,77.8,12,32,44,17,7,5,8,16,117,11.0,0,9113,2018-03-25,1
18151,Raptors,41,92.0,44.6,16,36.0,44.4,8,14.0,57.1,13,35,48,24,3,6,14,23,106,-11.0,1,9113,2018-03-25,0
18152,Knicks,41,88.0,46.6,6,22.0,27.3,13,15.0,86.7,10,34,44,26,10,6,14,19,101,4.0,0,9114,2018-03-25,1
18153,Wizards,37,87.0,42.5,6,19.0,31.6,17,23.0,73.9,14,32,46,25,10,7,14,16,97,-4.0,1,9114,2018-03-25,0
18154,Celtics,40,72.0,55.6,12,22.0,54.5,12,17.0,70.6,3,32,35,23,9,2,15,11,104,11.0,0,9115,2018-03-25,1
18155,Kings,38,82.0,46.3,7,26.0,26.9,10,10.0,100.0,7,27,34,18,7,1,14,16,93,-11.0,1,9115,2018-03-25,0
18156,Trail Blazers,42,90.0,46.7,9,34.0,26.5,15,19.0,78.9,18,31,49,20,8,7,13,19,108,3.0,0,9116,2018-03-25,1
18157,Thunder,37,84.0,44.0,8,27.0,29.6,23,28.0,82.1,13,26,39,16,9,5,10,19,105,-3.0,1,9116,2018-03-25,0
18158,Hawks,39,88.0,44.3,11,40.0,27.5,10,11.0,90.9,7,38,45,18,5,2,13,14,99,-19.0,0,9117,2018-03-25,0
18159,Rockets,44,90.0,48.9,20,52.0,38.5,10,11.0,90.9,6,39,45,28,7,4,11,12,118,19.0,1,9117,2018-03-25,1
18160,Jazz,42,87.0,48.3,12,28.0,42.9,14,18.0,77.8,11,36,47,27,6,8,14,16,110,19.0,0,9118,2018-03-25,1
18161,Warriors,38,91.0,41.8,6,15.0,40.0,9,10.0,90.0,14,27,41,24,9,7,11,19,91,-19.0,1,9118,2018-03-25,0
18162,Knicks,54,105.0,51.4,9,30.0,30.0,11,11.0,100.0,11,30,41,25,6,1,10,27,128,-9.0,0,9119,2018-03-26,0
18163,Hornets,51,93.0,54.8,11,28.0,39.3,24,28.0,85.7,11,32,43,25,5,4,14,12,137,9.0,1,9119,2018-03-26,1
18164,Lakers,40,85.0,47.1,6,23.0,26.1,20,25.0,80.0,6,41,47,29,3,7,10,20,106,-6.0,0,9120,2018-03-26,0
18165,Pistons,44,100.0,44.0,13,33.0,39.4,11,15.0,73.3,10,40,50,21,4,2,7,26,112,6.0,1,9120,2018-03-26,1
18166,Nuggets,36,84.0,42.9,11,32.0,34.4,21,34.0,61.8,9,28,37,27,10,7,15,21,104,-19.0,0,9121,2018-03-26,0
18167,76ers,46,91.0,50.5,13,29.0,44.8,18,25.0,72.0,14,39,53,35,6,6,17,28,123,19.0,1,9121,2018-03-26,1
18168,Grizzlies,40,84.0,47.6,15,31.0,48.4,6,9.0,66.7,7,28,35,25,8,4,13,23,101,8.0,0,9122,2018-03-26,1
18169,Timberwolves,33,79.0,41.8,8,24.0,33.3,19,24.0,79.2,7,30,37,21,7,6,14,15,93,-8.0,1,9122,2018-03-26,0
18170,Celtics,37,87.0,42.5,14,29.0,48.3,14,14.0,100.0,10,34,44,24,10,3,12,19,102,8.0,0,9123,2018-03-26,1
18171,Suns,36,81.0,44.4,12,35.0,34.3,10,19.0,52.6,11,36,47,18,8,5,15,18,94,-8.0,1,9123,2018-03-26,0
18172,Spurs,39,87.0,44.8,10,25.0,40.0,18,33.0,54.5,10,27,37,29,7,5,8,17,106,-10.0,0,9124,2018-03-27,0
18173,Wizards,46,85.0,54.1,10,24.0,41.7,14,18.0,77.8,10,40,50,33,5,7,16,27,116,10.0,1,9124,2018-03-27,1
18174,Nuggets,42,89.0,47.2,13,30.0,43.3,13,14.0,92.9,10,30,40,26,6,6,11,16,110,-4.0,0,9125,2018-03-27,0
18175,Raptors,47,92.0,51.1,13,34.0,38.2,7,9.0,77.8,9,28,37,33,6,16,9,18,114,4.0,1,9125,2018-03-27,1
18176,Cavaliers,31,85.0,36.5,4,26.0,15.4,13,19.0,68.4,12,30,42,15,8,1,14,18,79,-19.0,0,9126,2018-03-27,0
18177,Heat,37,78.0,47.4,9,29.0,31.0,15,20.0,75.0,9,35,44,24,10,9,14,18,98,19.0,1,9126,2018-03-27,1
18178,Bulls,34,89.0,38.2,8,37.0,21.6,10,17.0,58.8,13,38,51,17,8,1,18,17,86,-32.0,0,9127,2018-03-27,0
18179,Rockets,41,93.0,44.1,18,57.0,31.6,18,21.0,85.7,9,37,46,28,15,6,10,12,118,32.0,1,9127,2018-03-27,1
18180,Trail Blazers,44,105.0,41.9,10,32.0,31.3,9,10.0,90.0,17,30,47,20,11,7,10,17,107,4.0,0,9128,2018-03-27,1
18181,Pelicans,43,94.0,45.7,4,24.0,16.7,13,14.0,92.9,11,43,54,28,3,10,16,19,103,-4.0,1,9128,2018-03-27,0
18182,Mavericks,36,80.0,45.0,14,40.0,35.0,17,25.0,68.0,4,39,43,25,7,9,10,17,103,6.0,0,9129,2018-03-27,1
18183,Kings,38,93.0,40.9,6,23.0,26.1,15,19.0,78.9,10,35,45,25,6,6,10,22,97,-6.0,1,9129,2018-03-27,0
18184,Pacers,39,81.0,48.1,6,21.0,28.6,8,12.0,66.7,8,30,38,22,10,2,10,14,92,11.0,0,9130,2018-03-27,1
18185,Warriors,35,86.0,40.7,5,17.0,29.4,6,9.0,66.7,17,34,51,21,4,9,16,17,81,-11.0,1,9130,2018-03-27,0
18186,Bucks,38,83.0,45.8,6,23.0,26.1,16,23.0,69.6,8,36,44,24,12,11,16,14,98,-7.0,0,9131,2018-03-27,0
18187,Clippers,40,86.0,46.5,15,28.0,53.6,10,18.0,55.6,8,33,41,23,8,4,13,23,105,7.0,1,9131,2018-03-27,1
18188,Cavaliers,45,93.0,48.4,11,28.0,39.3,17,20.0,85.0,11,27,38,22,9,1,6,19,118,13.0,0,9132,2018-03-28,1
18189,Hornets,39,76.0,51.3,5,21.0,23.8,22,24.0,91.7,6,34,40,20,2,2,13,16,105,-13.0,1,9132,2018-03-28,0
18190,Nets,40,87.0,46.0,12,34.0,35.3,19,22.0,86.4,11,37,48,28,6,5,8,17,111,7.0,0,9133,2018-03-28,1
18191,Magic,40,92.0,43.5,11,31.0,35.5,13,16.0,81.3,11,33,44,25,4,4,9,18,104,-7.0,1,9133,2018-03-28,0
18192,Knicks,36,94.0,38.3,9,31.0,29.0,20,26.0,76.9,10,36,46,20,4,5,16,22,101,-17.0,0,9134,2018-03-28,0
18193,76ers,45,98.0,45.9,9,31.0,29.0,19,27.0,70.4,14,44,58,34,9,3,12,19,118,17.0,1,9134,2018-03-28,1
18194,Trail Blazers,38,79.0,48.1,8,30.0,26.7,19,30.0,63.3,8,30,38,15,7,8,12,20,103,-5.0,0,9135,2018-03-28,0
18195,Grizzlies,41,84.0,48.8,13,25.0,52.0,13,23.0,56.5,11,35,46,23,7,2,15,24,108,5.0,1,9135,2018-03-28,1
18196,Hawks,41,77.0,53.2,13,27.0,48.1,19,23.0,82.6,4,33,37,26,10,2,19,22,114,-12.0,0,9136,2018-03-28,0
18197,Timberwolves,48,90.0,53.3,13,30.0,43.3,17,21.0,81.0,7,30,37,33,9,1,13,20,126,12.0,1,9136,2018-03-28,1
18198,Celtics,35,79.0,44.3,12,21.0,57.1,15,20.0,75.0,11,31,42,20,11,2,16,18,97,3.0,0,9137,2018-03-28,1
18199,Jazz,34,82.0,41.5,9,33.0,27.3,17,21.0,81.0,12,33,45,25,7,6,16,18,94,-3.0,1,9137,2018-03-28,0
18200,Clippers,43,80.0,53.7,8,17.0,47.1,17,25.0,68.0,11,40,51,26,7,4,21,17,111,12.0,0,9138,2018-03-28,1
18201,Suns,38,88.0,43.2,10,34.0,29.4,13,18.0,72.2,9,30,39,17,13,4,14,20,99,-12.0,1,9138,2018-03-28,0
18202,Mavericks,33,84.0,39.3,13,44.0,29.5,14,19.0,73.7,6,34,40,17,10,1,10,22,93,-10.0,0,9139,2018-03-28,0
18203,Lakers,36,77.0,46.8,9,33.0,27.3,22,32.0,68.8,7,42,49,25,6,5,15,16,103,10.0,1,9139,2018-03-28,1
18204,Wizards,37,89.0,41.6,6,32.0,18.8,12,15.0,80.0,12,31,43,28,9,6,15,19,92,-11.0,0,9140,2018-03-29,0
18205,Pistons,41,84.0,48.8,6,21.0,28.6,15,20.0,75.0,10,34,44,26,9,3,16,14,103,11.0,1,9140,2018-03-29,1
18206,Bulls,33,90.0,36.7,6,26.0,23.1,20,26.0,76.9,14,36,50,19,10,5,18,19,92,-11.0,0,9141,2018-03-29,0
18207,Heat,37,82.0,45.1,7,27.0,25.9,22,24.0,91.7,7,37,44,20,7,7,17,23,103,11.0,1,9141,2018-03-29,1
18208,Thunder,37,85.0,43.5,11,30.0,36.7,14,21.0,66.7,10,33,43,19,11,3,15,23,99,-4.0,0,9142,2018-03-29,0
18209,Spurs,34,81.0,42.0,13,31.0,41.9,22,30.0,73.3,14,34,48,22,13,6,16,18,103,4.0,1,9142,2018-03-29,1
18210,Pacers,40,80.0,50.0,8,26.0,30.8,18,20.0,90.0,7,27,34,23,9,4,10,17,106,3.0,0,9143,2018-03-29,1
18211,Kings,42,78.0,53.8,13,31.0,41.9,6,9.0,66.7,6,26,32,27,3,2,18,24,103,-3.0,1,9143,2018-03-29,0
18212,Bucks,48,87.0,55.2,11,20.0,55.0,9,10.0,90.0,7,29,36,30,16,3,15,17,116,9.0,0,9144,2018-03-29,1
18213,Warriors,41,75.0,54.7,10,20.0,50.0,15,15.0,100.0,2,29,31,26,10,7,18,19,107,-9.0,1,9144,2018-03-29,0
18214,Bulls,30,84.0,35.7,14,41.0,34.1,16,23.0,69.6,11,42,53,16,11,7,16,17,90,8.0,0,9145,2018-03-30,1
18215,Magic,31,94.0,33.0,7,39.0,17.9,13,14.0,92.9,12,43,55,16,11,5,12,18,82,-8.0,1,9145,2018-03-30,0
18216,76ers,42,95.0,44.2,8,38.0,21.1,9,13.0,69.2,9,44,53,34,10,6,15,18,101,10.0,0,9146,2018-03-30,1
18217,Hawks,36,101.0,35.6,9,39.0,23.1,10,15.0,66.7,15,44,59,24,9,4,16,14,91,-10.0,1,9146,2018-03-30,0
18218,Pelicans,43,89.0,48.3,11,26.0,42.3,5,6.0,83.3,7,34,41,25,4,2,11,19,102,-5.0,0,9147,2018-03-30,0
18219,Cavaliers,43,90.0,47.8,10,24.0,41.7,11,15.0,73.3,9,36,45,22,6,2,10,14,107,5.0,1,9147,2018-03-30,1
18220,Suns,41,84.0,48.8,12,32.0,37.5,9,13.0,69.2,8,38,46,23,8,5,17,21,103,-1.0,0,9148,2018-03-30,0
18221,Rockets,35,81.0,43.2,14,38.0,36.8,20,29.0,69.0,8,31,39,22,9,7,10,12,104,1.0,1,9148,2018-03-30,1
18222,Nuggets,49,94.0,52.1,10,30.0,33.3,18,21.0,85.7,12,46,58,27,4,5,15,24,126,1.0,0,9149,2018-03-30,1
18223,Thunder,45,108.0,41.7,20,44.0,45.5,15,27.0,55.6,18,32,50,25,13,2,8,22,125,-1.0,1,9149,2018-03-30,0
18224,Timberwolves,35,83.0,42.2,8,25.0,32.0,15,17.0,88.2,6,38,44,14,10,6,9,13,93,1.0,0,9150,2018-03-30,1
18225,Mavericks,38,86.0,44.2,11,28.0,39.3,5,7.0,71.4,6,40,46,22,5,5,14,17,92,-1.0,1,9150,2018-03-30,0
18226,Grizzlies,39,81.0,48.1,9,23.0,39.1,10,15.0,66.7,7,26,33,24,8,4,13,21,97,-10.0,0,9151,2018-03-30,0
18227,Jazz,40,74.0,54.1,12,31.0,38.7,15,26.0,57.7,7,31,38,24,7,5,15,19,107,10.0,1,9151,2018-03-30,1
18228,Bucks,45,94.0,47.9,11,29.0,37.9,23,28.0,82.1,8,31,39,24,14,6,12,25,124,2.0,0,9152,2018-03-30,1
18229,Lakers,48,94.0,51.1,8,27.0,29.6,18,25.0,72.0,15,41,56,33,5,3,18,23,122,-2.0,1,9152,2018-03-30,0
18230,Clippers,36,89.0,40.4,4,13.0,30.8,20,35.0,57.1,11,35,46,13,5,5,10,16,96,-9.0,0,9153,2018-03-30,0
18231,Trail Blazers,41,95.0,43.2,8,30.0,26.7,15,16.0,93.8,13,37,50,30,9,10,10,25,105,9.0,1,9153,2018-03-30,1
18232,Hornets,35,77.0,45.5,6,23.0,26.1,17,27.0,63.0,9,37,46,22,6,2,17,14,93,-14.0,0,9154,2018-03-31,0
18233,Wizards,40,88.0,45.5,18,39.0,46.2,9,12.0,75.0,11,33,44,30,11,4,12,23,107,14.0,1,9154,2018-03-31,1
18234,Pistons,44,85.0,51.8,10,24.0,41.7,17,22.0,77.3,10,33,43,24,8,5,9,15,115,6.0,0,9155,2018-03-31,1
18235,Knicks,43,91.0,47.3,13,29.0,44.8,10,12.0,83.3,9,31,40,31,4,1,14,18,109,-6.0,1,9155,2018-03-31,0
18236,Raptors,37,80.0,46.3,8,35.0,22.9,17,22.0,77.3,9,37,46,23,1,5,15,26,99,-11.0,0,9156,2018-03-31,0
18237,Celtics,40,88.0,45.5,7,17.0,41.2,23,27.0,85.2,8,33,41,19,6,3,5,23,110,11.0,1,9156,2018-03-31,1
18238,Nets,39,91.0,42.9,10,35.0,28.6,22,28.0,78.6,7,40,47,28,11,5,15,24,110,1.0,0,9157,2018-03-31,1
18239,Heat,43,95.0,45.3,7,17.0,41.2,16,21.0,76.2,10,41,51,19,6,6,18,22,109,-1.0,1,9157,2018-03-31,0
18240,Warriors,41,83.0,49.4,9,26.0,34.6,21,28.0,75.0,6,36,42,28,9,6,10,18,112,16.0,0,9158,2018-03-31,1
18241,Kings,36,87.0,41.4,8,28.0,28.6,16,19.0,84.2,11,36,47,27,5,6,15,23,96,-16.0,1,9158,2018-03-31,0
18242,76ers,48,94.0,51.1,14,32.0,43.8,9,10.0,90.0,7,37,44,36,15,5,14,24,119,17.0,0,9159,2018-04-01,1
18243,Hornets,33,82.0,40.2,9,30.0,30.0,27,34.0,79.4,9,31,40,17,8,7,16,13,102,-17.0,1,9159,2018-04-01,0
18244,Wizards,37,81.0,45.7,8,30.0,26.7,12,12.0,100.0,6,31,37,27,5,4,16,12,94,-19.0,0,9160,2018-04-01,0
18245,Bulls,43,82.0,52.4,18,34.0,52.9,9,13.0,69.2,6,34,40,30,7,1,17,17,113,19.0,1,9160,2018-04-01,1
18246,Rockets,26,77.0,33.8,7,31.0,22.6,24,29.0,82.8,8,34,42,12,3,3,9,19,83,-17.0,0,9161,2018-04-01,0
18247,Spurs,40,81.0,49.4,6,17.0,35.3,14,21.0,66.7,8,40,48,19,8,8,8,19,100,17.0,1,9161,2018-04-01,1
18248,Pacers,42,86.0,48.8,11,28.0,39.3,16,21.0,76.2,15,25,40,23,8,4,10,12,111,7.0,0,9162,2018-04-01,1
18249,Clippers,42,82.0,51.2,9,25.0,36.0,11,14.0,78.6,12,24,36,24,6,6,13,19,104,-7.0,1,9162,2018-04-01,0
18250,Magic,33,96.0,34.4,10,36.0,27.8,12,13.0,92.3,11,30,41,19,8,6,5,10,88,-6.0,0,9163,2018-04-01,0
