,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
294,E'Twaun Moore,New Orleans Pelicans,36:16,5,15,33.3,1,3,33.3,5,6,83.3,0,1,1,5,2,1,1,4,16,-8,29
295,Buddy Hield,New Orleans Pelicans,22:48,4,14,28.6,2,10,20.0,0,0,0.0,0,3,3,1,0,0,0,1,10,11,29
296,Maurice Harkless,Portland Trail Blazers,32:20,4,8,50.0,1,3,33.3,0,0,0.0,0,1,1,3,1,0,0,0,9,20,30
297,Mason Plumlee,Portland Trail Blazers,34:05,7,9,77.8,0,0,0.0,5,5,100,1,3,4,4,4,1,2,2,19,24,30
298,CJ McCollum,Portland Trail Blazers,23:06,4,11,36.4,1,5,20.0,0,1,0.0,1,4,5,2,0,0,1,5,9,1,30
299,Damian Lillard,Portland Trail Blazers,36:59,12,18,66.7,5,6,83.3,13,14,92.9,0,4,4,4,0,0,1,4,42,17,30
300,Ed Davis,Portland Trail Blazers,9:12,1,1,100,0,0,0.0,0,2,0.0,2,1,3,0,0,0,1,2,2,-8,30
301,Harrison Barnes,Dallas Mavericks,35:16,8,17,47.1,1,4,25.0,0,0,0.0,2,8,10,0,0,0,2,3,17,-2,30
302,Seth Curry,Dallas Mavericks,25:34,3,8,37.5,2,5,40.0,0,0,0.0,1,2,3,1,1,0,1,2,8,19,30
303,Dwight Powell,Dallas Mavericks,23:20,2,3,66.7,0,0,0.0,3,4,75.0,2,6,8,3,3,1,0,2,7,-5,30
304,Dorian Finney-Smith,Dallas Mavericks,0:34,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,30
305,Kawhi Leonard,San Antonio Spurs,31:30,9,18,50.0,1,5,20.0,10,10,100,4,7,11,4,1,1,1,2,29,7,31
306,LaMarcus Aldridge,San Antonio Spurs,29:01,7,13,53.8,0,0,0.0,5,6,83.3,1,5,6,0,2,1,2,3,19,13,31
307,Kyle Anderson,San Antonio Spurs,24:12,1,3,33.3,0,0,0.0,0,0,0.0,0,3,3,1,4,0,0,2,2,-2,31
308,Patty Mills,San Antonio Spurs,29:38,6,11,54.5,4,7,57.1,0,0,0.0,0,3,3,3,0,0,1,3,16,17,31
309,Davis Bertans,San Antonio Spurs,16:17,0,4,0.0,0,3,0.0,0,0,0.0,1,2,3,1,0,0,0,2,0,8,31
310,Dewayne Dedmon,San Antonio Spurs,12:27,3,5,60.0,0,0,0.0,0,0,0.0,1,7,8,0,0,3,0,3,6,-2,31
311,Dejounte Murray,San Antonio Spurs,3:13,0,2,0.0,0,0,0.0,2,2,100,0,0,0,1,0,0,0,0,2,-2,31
312,Bryn Forbes,San Antonio Spurs,3:13,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-2,31
313,Derrick Favors,Utah Jazz,27:03,3,13,23.1,0,0,0.0,0,0,0.0,2,5,7,0,2,1,1,1,6,-2,31
314,Rudy Gobert,Utah Jazz,29:29,2,2,100,0,0,0.0,1,4,25.0,2,6,8,1,0,0,2,2,5,-12,31
315,Rodney Hood,Utah Jazz,23:53,7,12,58.3,2,4,50.0,2,4,50.0,1,4,5,2,1,0,1,4,18,0,31
316,George Hill,Utah Jazz,28:23,5,13,38.5,3,6,50.0,0,0,0.0,1,2,3,3,0,0,1,2,13,-7,31
