,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID,Date
62,Kentavious Caldwell-Pope,Detroit Pistons,38:49,2,9,22.2,0,3,0.0,0,0,0.0,0,0,0,3,2,0,1,2,4,-15,6,2016-10-26
63,Ish Smith,Detroit Pistons,33:15,3,10,30.0,0,4,0.0,0,0,0.0,0,1,1,7,1,0,0,0,6,-19,6,2016-10-26
64,Boban Marjanovic,Detroit Pistons,5:03,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,2,0,1,6,2016-10-26
65,Pascal Siakam,Toronto Raptors,21:44,2,2,100,0,0,0.0,0,0,0.0,2,7,9,0,1,0,0,2,4,16,6,2016-10-26
66,Jonas Valanciunas,Toronto Raptors,35:13,10,15,66.7,0,0,0.0,12,14,85.7,6,5,11,1,0,0,1,4,32,22,6,2016-10-26
67,DeMar DeRozan,Toronto Raptors,34:28,17,27,63.0,0,2,0.0,6,6,100,1,3,4,1,1,0,6,1,40,21,6,2016-10-26
68,Kyle Lowry,Toronto Raptors,37:46,3,13,23.1,1,5,20.0,3,3,100,1,4,5,8,1,0,2,2,10,2,6,2016-10-26
69,Terrence Ross,Toronto Raptors,18:34,2,4,50.0,0,1,0.0,0,0,0.0,0,4,4,3,2,0,1,2,4,-3,6,2016-10-26
70,Cory Joseph,Toronto Raptors,21:36,3,6,50.0,0,0,0.0,0,0,0.0,2,2,4,2,1,0,1,1,6,12,6,2016-10-26
71,Jakob Poeltl,Toronto Raptors,12:47,1,4,25.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,5,2,-4,6,2016-10-26
72,Norman Powell,Toronto Raptors,2:10,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,6,2016-10-26
73,Nicolas Batum,Charlotte Hornets,33:36,2,9,22.2,1,7,14.3,4,5,80.0,0,6,6,7,2,0,1,2,9,18,7,2016-10-26
74,Kemba Walker,Charlotte Hornets,35:04,5,15,33.3,3,7,42.9,4,6,66.7,0,1,1,8,2,0,2,2,17,15,7,2016-10-26
75,Cody Zeller,Charlotte Hornets,14:15,5,6,83.3,0,0,0.0,5,6,83.3,1,2,3,1,0,2,1,5,15,-3,7,2016-10-26
76,Jeremy Lamb,Charlotte Hornets,9:26,0,4,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,1,0,-10,7,2016-10-26
77,Jabari Parker,Milwaukee Bucks,29:50,4,9,44.4,1,1,100,4,4,100,2,4,6,3,0,0,3,3,13,-12,7,2016-10-26
78,Giannis Antetokounmpo,Milwaukee Bucks,38:44,13,21,61.9,1,2,50.0,4,6,66.7,1,8,9,5,1,1,1,5,31,-5,7,2016-10-26
79,Malcolm Brogdon,Milwaukee Bucks,21:25,3,9,33.3,0,3,0.0,2,2,100,0,6,6,5,0,0,0,2,8,0,7,2016-10-26
80,Andrew Wiggins,Minnesota Timberwolves,34:29,7,14,50.0,1,1,100,10,14,71.4,4,3,7,0,0,1,2,1,25,-5,8,2016-10-26
81,Gorgui Dieng,Minnesota Timberwolves,34:01,5,10,50.0,0,1,0.0,2,2,100,5,9,14,2,2,1,0,3,12,0,8,2016-10-26
82,Karl-Anthony Towns,Minnesota Timberwolves,36:29,9,20,45.0,2,5,40.0,1,1,100,2,2,4,5,1,1,2,3,21,-13,8,2016-10-26
83,Zach LaVine,Minnesota Timberwolves,33:50,6,14,42.9,3,6,50.0,4,5,80.0,0,5,5,3,1,0,2,3,19,-4,8,2016-10-26
84,Ricky Rubio,Minnesota Timberwolves,33:27,1,5,20.0,0,1,0.0,2,5,40.0,1,3,4,8,0,0,2,4,4,-1,8,2016-10-26
85,Nemanja Bjelica,Minnesota Timberwolves,15:23,1,4,25.0,0,1,0.0,1,2,50.0,0,1,1,0,0,1,0,3,3,0,8,2016-10-26
